camera_offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,y,z,rx,ry,rz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82,6,55.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccp (robot start position),,,,,,tcp (calculation start position),,,,,,in-socket-postion,,,,,,front-of-socket-postion,,,,,,actual distance,,,,,,estimated distance (camera estimate),,,,,,offset,,,,,
ccp_x,ccp_y,ccp_z,ccp_rx,ccp_ry,ccp_rz,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,isp_x,isp_y,isp_z,isp_rx,isp_ry,isp_rz,fsp_x,fsp_y,fsp_z,fsp_rx,fsp_ry,fsp_rz,ad_x,ad_y,ad_z,ad_rx,ad_ry,ad_rz,ed_x,ed_y,ed_z,ed_rx,ed_ry,ed_rz,os_x,os_y,os_z,os_rx,os_ry,os_rz
639.9401855,125.0834808,449.8598328,15.59708118,-179.9796753,15.57810211,557.9,131.1,505.4,15.6,-180.0,15.6,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.5,-148.2,11.2,163.1,350.7,163.3,534.7,-132.8,23.3,0.991216986,7.608879519,2.813222774,-13.8,15.4,12.1,-162.1,-343.1,-160.5
639.9393311,124.0836792,449.8516846,15.65182972,-179.9784851,15.63275909,557.9,130.1,505.4,15.7,-180.0,15.6,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.5,-147.2,11.2,163.0,350.7,163.2,534.6,-131.8,23.3,0.97975783,7.52293585,2.773115728,-13.9,15.4,12.1,-162.1,-343.1,-160.4
639.9213867,123.0768814,449.8250122,15.19505882,-179.9764709,15.17625427,557.9,129.1,505.3,15.2,-180.0,15.2,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.6,-146.2,11.3,163.5,350.7,163.7,534.6,-130.7,23.2,0.911002894,7.339589356,2.893436865,-14.0,15.5,11.9,-162.6,-343.3,-160.8
639.921875,122.0810776,449.8256531,15.07262421,-179.9765015,15.05346489,557.9,128.1,505.3,15.1,-180.0,15.1,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.6,-145.2,11.3,163.6,350.7,163.8,534.6,-129.7,23.2,0.956839518,7.608879519,2.578310078,-14.0,15.5,11.9,-162.7,-343.0,-161.2
639.930603,121.0778351,449.8363953,15.05958557,-179.9772491,15.04104805,557.9,127.1,505.3,15.1,-180.0,15.0,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.5,-144.2,11.3,163.6,350.7,163.8,534.4,-128.6,23.1,0.939650784,7.500017538,2.641335436,-14.1,15.6,11.8,-162.7,-343.2,-161.2
639.9382935,120.081604,449.848999,15.827775,-179.9780884,15.8086977,557.9,126.1,505.3,15.8,-180.0,15.8,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.5,-143.2,11.2,162.9,350.7,163.0,534.9,-127.7,23.1,0.89381416,7.179161173,2.864788976,-13.6,15.5,11.9,-162.0,-343.5,-160.2
639.9309692,119.079483,449.8506775,15.76215649,-179.9783783,15.74310875,557.9,125.1,505.4,15.8,-180.0,15.7,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.5,-142.2,11.2,162.9,350.7,163.1,534.7,-126.7,23,0.939650784,7.339589356,2.755926995,-13.8,15.5,11.8,-162.0,-343.3,-160.4
639.9255981,118.0741653,449.8248291,15.2269249,-179.9762878,15.20841026,557.9,124.1,505.3,15.2,-180.0,15.2,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.6,-141.2,11.3,163.5,350.7,163.6,534.8,-125.7,23,0.933921206,7.362507667,2.85332982,-13.8,15.5,11.7,-162.5,-343.3,-160.8
639.9294434,117.0794067,449.8291016,15.15229988,-179.9765778,15.13325214,557.9,123.1,505.3,15.2,-180.0,15.1,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.6,-140.2,11.3,163.5,350.7,163.7,534.7,-124.8,23,0.916732472,7.3281302,2.859059398,-13.9,15.4,11.7,-162.6,-343.3,-160.9
639.9367065,116.0824585,449.8438416,15.20909595,-179.9775543,15.19004917,557.9,122.1,505.3,15.2,-180.0,15.2,1149.2,-17.1,508.5,178.7,170.7,178.9,1106.5,-17.1,516.6,178.7,170.7,178.9,548.5,-139.2,11.2,163.5,350.7,163.7,534.7,-123.8,22.9,0.974028252,7.58023163,2.561121344,-13.8,15.4,11.7,-162.5,-343.1,-161.1
